PLAN_REF,FGDATE,PROPOSAL,APPDATE,LOCATION,STAGE,DECDATE,REGDATE,APPTYPE,DECISION
3076/19,NULL,The development will,23-05-2019,Fallon & Byrne  11-1,Registered applicati,NULL,23-05-2019,Permission,NULL
2562/17,28-06-2017,PROTECTED STRUCTURE:,27-03-2017,AIB Bank  7-12 Dame,Decision Notices Iss,19-05-2017,27-03-2017,Permission,GRANT PERMISSION
2977/12,25-10-2012,PROTECTED STRUCTURE:,26-07-2012,AIB Bank  7-12  Dame,Decision Notices Iss,13-09-2012,26-07-2012,Permission,GRANT PERMISSION
3300/15,16-02-2016,PROTECTED STRUCTURE:,24-07-2015,AIB Bank  7-12  Dame,Decision Notices Iss,05-01-2016,02-12-2015,Permission,GRANT PERMISSION
3301/15,19-10-2015,PROTECTED STRUCTURE:,24-07-2015,7-12  Dame Street  D,Decision Notices Iss,14-09-2015,24-07-2015,Permission,GRANT PERMISSION
3192/15,NULL,PROTECTED STRUCTURE:,10-07-2015,AIB Bank  P.O Box 96,Decision Notices Iss,15-07-2015,10-07-2015,Permission,APPLICATION DECLARED
4274/17,08-05-2018,PROTECTED STRUCTURE:,15-11-2017,AIB Bank  7-12  Dame,Decision Notices Iss,05-04-2018,12-03-2018,Permission,GRANT PERMISSION
5013/04,26-01-2005,new ESB substation a,15-10-2004,30 - 31  Pearse Stre,Decision Appealed,09-12-2004,15-10-2004,Permission,GRANT PERMISSION
2500/05,20-07-2005,a new lift shaft wit,21-04-2005,Trinity Court  30 -,Decision Notices Iss,14-06-2005,21-04-2005,Permission,GRANT PERMISSION
2610/10,16-07-2010,PROTECTED STRUCTURE-,13-04-2010,22-28  Lincoln Place,Decision Notices Iss,04-06-2010,13-04-2010,Permission,GRANT PERMISSION
2545/11,25-10-2011,PROTECTED STRUCTURE,18-04-2011,34  College Green  D,Decision Notices Iss,12-09-2011,17-08-2011,Permission,GRANT PERMISSION
3035/17,NULL,PROTECTED STRUCTURE:,30-05-2017,34  College Green  D,Decision Notices Iss,07-06-2017,30-05-2017,Permission,APPLICATION DECLARED
3811/10,NULL,PROTECTED STRUCTURE:,20-10-2010,Existing Former EBS,Decision Notices Iss,27-10-2010,20-10-2010,Permission,APPLICATION DECLARED
3823/10,03-02-2011,PROTECTED STRUCTURE:,22-10-2010,The Existing Former,Decision Notices Iss,16-12-2010,22-10-2010,Permission,GRANT PERMISSION
3141/11,NULL,PROTECTED STRUCTURE:,16-08-2011,30-34  Westmoreland,Decision Notices Iss,06-10-2011,16-08-2011,Permission,REFUSE PERMISSION
3858/10,03-02-2011,PROTECTED STRUCTURE-,28-10-2010,30  31  32  33  34,Decision Notices Iss,16-12-2010,28-10-2010,Permission,GRANT PERMISSION
3859/10,03-02-2011,PROTECTED STRUCTURE-,28-10-2010,Former EBS Building,Decision Notices Iss,16-12-2010,28-10-2010,Permission,GRANT PERMISSION
2757/11,19-08-2011,PROTECTED STRUCTURE,27-05-2011,Former EBS Building,Decision Notices Iss,06-07-2011,27-05-2011,Permission,GRANT PERMISSION
2857/19,NULL,The development cons,26-04-2019,Apartments 7  14  an,Registered applicati,NULL,26-04-2019,Permission,NULL
1888/06,02-06-2006,PROTECTED STRUCTURE,07-03-2006,4/5  Westmoreland St,Decision Appealed,26-04-2006,07-03-2006,Permission,GRANT PERMISSION
6248/05,NULL,PROTECTED Comprising,20-12-2005,side of 4/5  Westmor,Decision Notices Iss,18-01-2006,20-12-2005,Permission,APPLICATION DECLARED
2053/09,08-04-2009,Modifications to pre,13-01-2009,195-200  Parnell Str,Decision Notices Iss,23-02-2009,13-01-2009,Permission,GRANT PERMISSION
3699/10,NULL,Illuminated shopfron,01-10-2010,6-10  Suffolk Street,Decision Notices Iss,25-11-2010,01-10-2010,Permission,REFUSE PERMISSION
2911/12,10-10-2012,Construction of a me,13-07-2012,6-10  Suffolk Street,Decision Notices Iss,29-08-2012,13-07-2012,Permission,GRANT PERMISSION
1291/07,NULL,Protected Structure-,24-01-2007,Saint Andrew Street,Decision Notices Iss,20-03-2007,24-01-2007,Permission,REFUSE PERMISSION
3946/18,NULL,PROTECTED STRUCTURE:,14-09-2018,An Post  19-24 St. A,Decision Notices Iss,27-09-2018,14-09-2018,Permission,APPLICATION DECLARED
4576/18,NULL,PROTECTED STRUCTURE:,10-12-2018,An Post  19-24  St.,Decision Appealed,12-02-2019,10-12-2018,Permission,REFUSE PERMISSION
4079/18,22-02-2019,PROTECTED STRUCTURE:,03-10-2018,An Post  19-24  St.,Decision Notices Iss,18-01-2019,13-12-2018,Permission,GRANT PERMISSION
3191/06,23-08-2006,Change of use to mix,29-05-2006,195-200 Parnell Stre,Decision Appealed,19-07-2006,29-05-2006,Permission,GRANT PERMISSION
2520/06,NULL,change of use from e,18-04-2006,195-200 Parnell Stre,Decision Notices Iss,16-05-2006,18-04-2006,Permission,APPLICATION DECLARED
2232/06,19-06-2006,proposed modificatio,29-03-2006,195-200  Parnell Str,Decision Appealed,17-05-2006,29-03-2006,Permission,GRANT PERMISSION
3619/15,16-12-2015,PROTECTED STRUCTURE:,14-09-2015,28  Anglesea Street,Decision Notices Iss,03-11-2015,14-09-2015,Permission,GRANT PERMISSION
2773/15,07-08-2015,Proposed alterations,14-05-2015,Dunnes Stores  23-24,Decision Notices Iss,25-06-2015,14-05-2015,Permission,GRANT PERMISSION
3973/09,26-01-2010,Permission for the s,25-09-2009,23-24  Earl Street N,Decision Notices Iss,09-12-2009,23-11-2009,Permission,GRANT PERMISSION
2434/09,NULL,Provision of 5 no. a,02-03-2009,Dunnes Stores  23-24,Decision Notices Iss,10-03-2009,02-03-2009,Permission,APPLICATION DECLARED
2532/09,NULL,Provision of 5no. au,13-03-2009,Dunnes Stores  23-24,Decision Notices Iss,05-05-2009,13-03-2009,Permission,REFUSE PERMISSION
2047/08,01-07-2008,Provision of 1 no. a,25-03-2008,Dunnes Stores  23-24,Decision Notices Iss,19-05-2008,25-03-2008,Permission,GRANT PERMISSION
1483/08,NULL,Provision of 1no. au,15-02-2008,Dunnes Stores  23-24,Decision Notices Iss,13-03-2008,15-02-2008,Permission,APPLICATION DECLARED
5630/06,12-03-2007,Permission for new s,18-10-2006,Jacobs Inn   21-28,Decision Notices Iss,01-02-2007,09-01-2007,Permission,GRANT PERMISSION
6002/04,31-03-2005,construction of a a,22-12-2004,21-28  Talbot Place,Decision Notices Iss,22-02-2005,22-12-2004,Permission,GRANT PERMISSION
3306/12,NULL,Provision of a new s,02-10-2012,18/19  Moore Street,Decision Notices Iss,05-10-2012,02-10-2012,Permission,APPLICATION DECLARED
3471/12,06-03-2013,Amalgamating two exi,15-11-2012,18/19  Moore Street,Decision Notices Iss,18-01-2013,15-11-2012,Retention Permission,GRANT PERMISSION AND
6043/07,19-01-2009,Demolish all buildin,08-11-2007,Site at the South-We,Appeal Decided,09-04-2008,13-03-2008,Permission,GRANT PERMISSION
3305/18,22-11-2018,RETENTION: of 2 no.,20-06-2018,Eurospar Retail Unit,Decision Notices Iss,15-10-2018,20-09-2018,Retention Permission,GRANT RETENTION PERM
2391/18,NULL,RETENTION: Planning,26-02-2018,Eurospar Retail Unit,Decision Notices Iss,28-03-2018,26-02-2018,Retention Permission,APPLICATION DECLARED
4030/10,23-03-2012,PROTECTED STRUCTURE-,24-11-2010,34-35  College Green,Appeal Decided,27-01-2011,24-11-2010,Permission,GRANT PERMISSION
1272/04,29-04-2004,Planning permission,28-01-2004,52-55 and part 56  S,Decision Appealed,23-03-2004,28-01-2004,Permission,GRANT PERMISSION
1309/05,29-04-2005,change of use of app,31-01-2005,52-55  and part 56,Decision Notices Iss,24-03-2005,31-01-2005,Permission,GRANT PERMISSION
4370/05,18-11-2005,removal of 3 no. 48,19-08-2005,Southwest face of ra,Decision Appealed,13-10-2005,19-08-2005,Permission,GRANT PERMISSION
4523/17,NULL,PROTECTED STRUCTURE;,14-12-2017,The Mercantile Hotel,Decision Notices Iss,16-02-2018,14-12-2017,Permission,REFUSE PERMISSION
2505/19,NULL,PROTECTED STRUCTURE:,14-03-2019,24-28  Dame Street,Decision Notices Iss,08-05-2019,14-03-2019,Permission,ADDITIONAL INFORMATI
2145/14,01-09-2014,PROTECTED STRUCTURE,05-02-2014,9-11  Grafton Street,Decision Notices Iss,18-07-2014,24-06-2014,Permission,GRANT PERMISSION
2146/14,17-11-2014,PROTECTED STRUCTURE,05-02-2014,9-11  Grafton Street,Decision Notices Iss,13-10-2014,19-09-2014,Permission,GRANT PERMISSION
3800/14,NULL,PROTECTED STRUCTURE:,04-12-2014,64-66  Lower Gardine,Decision Notices Iss,06-01-2015,04-12-2014,Permission,APPLICATION DECLARED
2032/15,15-04-2015,PROTECTED STRUCTURE:,09-01-2015,64-66  Lower Gardine,Decision Notices Iss,05-03-2015,09-01-2015,Permission,GRANT PERMISSION
4084/09,NULL,RETENTION - temporar,14-10-2009,17-19  Moore Lane  (,Decision Notices Iss,07-12-2009,14-10-2009,Retention Permission,REFUSE RETENTION PER
1586/04,20-05-2004,for modifications/ch,19-02-2004,52-55 and part 56 St,Registered applicati,08-04-2004,19-02-2004,Permission,GRANT PERMISSION
1597/07,27-03-2008,Permission for 9 sto,08-02-2007,17 - 19  Moore Lane,Appeal Decided,19-10-2007,02-10-2007,Permission,GRANT PERMISSION
2567/08,NULL,Permission for a 16,29-04-2008,17-19  Moore Lane  (,Appeal Decided,18-06-2008,29-04-2008,Permission,REFUSE PERMISSION
4372/04,26-11-2004,mixed development co,30-08-2004,17-19  Moore Lane  F,Decision Notices Iss,21-10-2004,30-08-2004,Permission,GRANT PERMISSION
4715/18,28-03-2019,PROTECTED STRUCTURE:,21-12-2018,Nos. 43-44 Temple Ba,Decision Notices Iss,22-02-2019,21-12-2018,Permission,GRANT PERMISSION
2281/18,16-05-2018,Installation of a fi,12-02-2018,Mango  45-47  Henry,Decision Notices Iss,05-04-2018,12-02-2018,Permission,GRANT PERMISSION
2366/14,09-06-2014,Replecement of exist,14-03-2014,45-47  Henry Street,Decision Notices Iss,28-04-2014,14-03-2014,Permission,GRANT PERMISSION
3226/15,NULL,RETENTION: Retention,15-07-2015,45 - 47  Henry Stree,Appeal Decided,25-08-2015,15-07-2015,Retention Permission,REFUSE RETENTION PER
1394/07,16-07-2008,PROTECTED STRUCTURE,30-01-2007,Dollard House  2-5 W,Appeal Decided,14-11-2007,25-09-2007,Permission,GRANT PERMISSION
0778/03,NULL,Change of use to lic,25-02-2003,1 & 2  Aston Place,Appeal Decided,16-04-2003,25-02-2003,Permission,SPLIT DECISION(PERMI
2298/14,09-06-2014,Internal modificatio,28-02-2014,1-2 Aston Place whic,Decision Notices Iss,24-04-2014,28-02-2014,Permission,GRANT PERMISSION
2955/14,19-09-2014,Subdivision of two e,27-06-2014,1-2 Aston Place whic,Decision Notices Iss,11-08-2014,27-06-2014,Permission,GRANT PERMISSION
2644/13,NULL,Retention Permission,23-05-2013,47  Henry Street  Du,Decision Notices Iss,09-07-2013,23-05-2013,Retention Permission,REFUSE RETENTION PER
1075/04,NULL,Replace and remodel,12-01-2004,64-65  Dawson Street,Decision Notices Iss,03-02-2004,12-01-2004,Permission,APPLICATION DECLARED
1413/04,11-05-2004,replace and remodel,09-02-2004,64-65  Dawson Street,Decision Appealed,31-03-2004,09-02-2004,Permission,GRANT PERMISSION
2628/09,NULL,PROTECTED STRUCTURE-,26-03-2009,19-20 Great George's,Decision Notices Iss,09-12-2009,12-11-2009,Permission,REFUSE PERMISSION
3465/12,NULL,PROTECTED STRUCTURE:,14-11-2012,19-20  Fleet Street,Decision Notices Iss,11-01-2013,14-11-2012,Permission,REFUSE PERMISSION
2448/05,NULL,retention of externa,18-04-2005,57  Abbey Street Mid,Decision Notices Iss,02-06-2005,18-04-2005,Permission,REFUSE PERMISSION
3614/05,29-09-2005,Omission of proposed,01-07-2005,Car Park Site on cor,Decision Appealed,24-08-2005,01-07-2005,Permission,GRANT PERMISSION
1199/04,22-04-2004,ground floor elevati,22-01-2004,Existing Car park si,Decision Appealed,15-03-2004,22-01-2004,Permission,GRANT PERMISSION
2140/15,11-12-2015,Construction of 2 Ne,29-01-2015,17 18 19  Moore Lane,Appeal Decided,08-07-2015,11-06-2015,Permission,GRANT PERMISSION
3566/14,21-05-2015,PROTECTED STRUCTURE:,21-10-2014,19 & 20  Fleet Stree,Appeal Decided,15-12-2014,21-10-2014,Permission,SPLIT DECISION(PERMI
2286/13,NULL,PROTECTED STRUCTURE,06-03-2013,19-20  Fleet Street,Decision Notices Iss,24-04-2013,06-03-2013,Permission,REFUSE PERMISSION
2091/14,NULL,PROTECTED STRUCTURE:,23-01-2014,19&20  Fleet Street,Appeal Decided,19-03-2014,23-01-2014,Permission,GRANT PERMISSION
4370/18,19-02-2019,PERMISSION & RETENTI,12-11-2018,29  Bachelors Walk,Decision Notices Iss,15-01-2019,12-11-2018,Retention Permission,GRANT PERMISSION AND
3593/18,NULL,RETENTION: Retention,27-07-2018,29  Bachelors Walk,Decision Notices Iss,19-09-2018,27-07-2018,Retention Permission,REFUSE RETENTION PER
3838/17,18-12-2017,RETENTION & PERMISSI,13-09-2017,Abbey Court Hostel,Decision Notices Iss,07-11-2017,13-09-2017,Retention Permission,GRANT PERMISSION AND
4342/16,28-02-2018,The development will,15-12-2016,9-17  St Andrews Lan,Appeal Decided,13-06-2017,18-05-2017,Permission,GRANT PERMISSION
6607/06,16-10-2007,PROTECTED STRUCTURE-,15-12-2006,Treasury Block  Lowe,Decision Notices Iss,03-09-2007,13-08-2007,Permission,GRANT PERMISSION
5608/06,NULL,PROTECTED STRUCTURE-,17-10-2006,Treasury Block Build,Decision Notices Iss,17-11-2006,17-10-2006,Permission,APPLICATION DECLARED
3550/05,NULL,change of use of bas,28-06-2005,57  Middle Abbey Str,Appeal Decided,22-08-2005,28-06-2005,Permission,REFUSE PERMISSION
3109/05,NULL,Planning Permission,31-05-2005,Spirit 57  Middle Ab,Decision Notices Iss,28-06-2005,31-05-2005,Permission,APPLICATION DECLARED
6195/06,26-02-2007,Modifications to pre,22-11-2006,195-200  Parnell Str,Decision Notices Iss,19-01-2007,22-11-2006,Permission,GRANT PERMISSION
2176/11,NULL,Addition of new sign,10-02-2011,Temple Bar Gallery &,Decision Notices Iss,17-02-2011,10-02-2011,Permission,APPLICATION DECLARED
2267/11,NULL,Addition of new pain,25-02-2011,Temple Bar Gallery &,Decision Notices Iss,10-05-2011,21-04-2011,Permission,REFUSE PERMISSION
3512/14,NULL,External Signage to,10-10-2014,57  Middle Abbey Str,Decision Notices Iss,14-10-2014,10-10-2014,Permission,APPLICATION DECLARED
3582/14,NULL,External signage to,23-10-2014,57 Middle Abbey Stre,Decision Notices Iss,06-11-2014,23-10-2014,Permission,APPLICATION DECLARED
3396/14,NULL,External signage to,17-09-2014,57  Middle Abbey Str,Decision Notices Iss,07-10-2014,17-09-2014,Permission,APPLICATION DECLARED
3832/14,NULL,RETENTION: Retention,09-12-2014,57 Middle Abbey Stre,Decision Notices Iss,02-02-2015,09-12-2014,Retention Permission,REFUSE RETENTION PER
3651/11,NULL,PROTECTED STRUCTURE,02-12-2011,36  Strand Street Gr,Decision Notices Iss,02-02-2012,02-12-2011,Permission,REFUSE PERMISSION
3638/04,11-10-2004,development will con,09-07-2004,Site known as Dakota,Decision Appealed,02-09-2004,09-07-2004,Permission,GRANT PERMISSION
5336/03,16-02-2004,Change of use from h,05-11-2003,42  O'Connell Street,Decision Notices Iss,08-01-2004,05-11-2003,Permission,GRANT PERMISSION
3755/03,05-11-2003,new contemporary sto,05-08-2003,Royal Dublin Hotel,Decision Appealed,25-09-2003,05-08-2003,Permission,GRANT PERMISSION
2564/10,01-07-2010,A retractable coveri,06-04-2010,Meeting House Square,Decision Notices Iss,31-05-2010,06-04-2010,Permission,GRANT PERMISSION
1779/08,NULL,A 16 storey over bas,05-03-2008,17-19  Moore Lane  F,NULL,09-04-2008,05-03-2008,Permission,APPLICATION DECLARED
5535/05,NULL,mixed development co,08-11-2005,17-19  Moore Lane fr,Decision Notices Iss,17-11-2005,08-11-2005,Permission,APPLICATION DECLARED
5885/05,NULL,Eight storey develop,30-11-2005,17-19  Moore Lane Fr,Decision Appealed,15-08-2006,19-07-2006,Permission,REFUSE PERMISSION
5343/07,21-12-2007,7 storey over baseme,19-09-2007,17-19  Moore Lane  (,Decision Notices Iss,08-11-2007,19-09-2007,Permission,GRANT PERMISSION
0870/03,23-09-2003,OUTLINE Ref No 1564/,04-03-2003,17-19  Moore Lane  F,Decision Notices Iss,12-08-2003,17-07-2003,Permission,GRANT PERMISSION
3200/15,29-01-2016,New signage to front,10-07-2015,3  George's Dock  Du,Decision Notices Iss,11-12-2015,18-11-2015,Permission,GRANT PERMISSION
6642/06,14-11-2007,Modify a permitted o,18-12-2006,52-54  Sandwith Stre,Appeal Decided,16-04-2007,21-03-2007,Permission,GRANT PERMISSION
5493/05,NULL,construction of 1 no,04-11-2005,52 - 54  Sandwith St,Appeal Decided,16-03-2006,20-02-2006,Permission,REFUSE PERMISSION
2351/08,NULL,PROTECTED STRUCTURE,15-04-2008,47-54  Pearse Street,Decision Notices Iss,16-05-2008,15-04-2008,Permission,APPLICATION DECLARED
6881/06,28-03-2007,Change of use to exi,22-12-2006,11-17  Exchequer Str,Decision Notices Iss,20-02-2007,22-12-2006,Permission,GRANT PERMISSION
3131/18,07-05-2019,PROTECTED STRUCTURE:,29-05-2018,Wynn's Hotel  35-39,Appeal Decided,12-11-2018,17-10-2018,Permission,GRANT PERMISSION
2716/15,05-08-2015,Modifications to pre,01-05-2015,28A & 29 Pearse Stre,Decision Notices Iss,23-06-2015,01-05-2015,Permission,GRANT PERMISSION
2772/07,NULL,Demolition of single,20-04-2007,28A & 29  Pearse Str,Appeal Decided,27-09-2007,31-08-2007,Permission,GRANT PERMISSION
5305/06,NULL,PROTECTED STRUCTURE,29-09-2006,The Adams Trinity Ho,Appeal Decided,22-11-2006,29-09-2006,Permission,REFUSE PERMISSION
2198/12,07-06-2012,Change of use from g,21-02-2012,11A  Moore Lane  Dub,Decision Notices Iss,24-04-2012,11-04-2012,Permission,GRANT PERMISSION
3951/17,22-03-2018,Change of use for pa,29-09-2017,20/21  Moore Street,Decision Notices Iss,07-02-2018,11-01-2018,Permission,GRANT PERMISSION
5984/07,28-05-2008,five storey apartmen,05-11-2007,55/56  Abbey Street,Decision Notices Iss,17-04-2008,28-03-2008,Permission,GRANT PERMISSION
4498/07,NULL,Partial demolition,26-07-2007,55-56  Middle Abbey,Decision Notices Iss,08-08-2007,26-07-2007,Permission,APPLICATION DECLARED
2632/10,NULL,Refurbishment & exte,19-04-2010,55-56  Middle Abbey,Decision Notices Iss,22-04-2010,19-04-2010,Permission,APPLICATION DECLARED
2702/10,07-02-2011,Additon of a new sto,29-04-2010,55-56  Middle Abbey,Decision Notices Iss,17-12-2010,29-11-2010,Permission,GRANT PERMISSION
3145/18,31-08-2018,Change of use and am,31-05-2018,Block B  Joyce's Cou,Decision Notices Iss,25-07-2018,31-05-2018,Permission,GRANT PERMISSION
3576/13,04-03-2014,Amendments to Reg. R,20-11-2013,Ground Floor Units 3,Decision Notices Iss,22-01-2014,20-11-2013,Permission,GRANT PERMISSION
1319/03,NULL,PROTECTED STRUCTURE,28-03-2003,Crampton Buildings,Decision Notices Iss,21-05-2003,28-03-2003,Permission,REFUSE PERMISSION
2050/18,NULL,PROTECTED STRUCTURE:,11-01-2018,Temple Bar Music Cen,Decision Notices Iss,07-03-2018,11-01-2018,Retention Permission,REFUSE RETENTION PER
2289/08,NULL,PRO STRUCT: Door ope,11-04-2008,28  Anglesea Street,Decision Notices Iss,17-04-2008,11-04-2008,Permission,APPLICATION DECLARED
2522/08,25-07-2008,PROTECTED STRUCTURE,25-04-2008,28  Anglesea Street,Decision Notices Iss,12-06-2008,25-04-2008,Permission,GRANT PERMISSION
6636/06,15-03-2007,Permission for a 3 s,18-12-2006,Dublin Corporation D,Decision Notices Iss,08-02-2007,18-12-2006,Permission,GRANT PERMISSION
5618/05,NULL,Construction of 1 no,11-11-2005,66B Pearse Street;67,Appeal Decided,16-03-2006,20-02-2006,Permission,REFUSE PERMISSION
1381/04,NULL,PROTECTED STRUCTURE,06-02-2004,Wynns Hotel  35-39,Decision Notices Iss,25-02-2004,06-02-2004,Permission,APPLICATION DECLARED
WEB1103/08,NULL,two number two sided,06-11-2008,6-8  Wicklow Street,Appeal Decided,17-12-2008,06-11-2008,Permission,REFUSE PERMISSION
1701/04,27-05-2004,Alterations to the e,27-02-2004,Wynns Hotel  35-39,Decision Appealed,19-04-2004,27-02-2004,Permission,GRANT PERMISSION
4161/03,25-11-2003,PROTECTED STRUCTURE,26-08-2003,Wynn's Hotel  35-39,Decision Appealed,20-10-2003,26-08-2003,Permission,GRANT PERMISSION
2925/18,20-09-2018,PROTECTED STRUCTURE:,04-05-2018,McDonalds Restaurant,Decision Notices Iss,16-08-2018,20-07-2018,Permission,GRANT PERMISSION
3944/04,NULL,PROTECTED STRUCTURE,28-07-2004,No.3 (formerly known,Decision Notices Iss,21-09-2004,28-07-2004,Permission,REFUSE PERMISSION
1791/05,10-10-2005,alterations  to allo,04-03-2005,3 & 5  College Green,Decision Appealed,02-09-2005,12-08-2005,Permission,GRANT PERMISSION
4363/18,15-02-2019,Permission for devel,09-11-2018,Trinity Biosciences,Decision Notices Iss,11-01-2019,09-11-2018,Permission,GRANT PERMISSION
4650/18,NULL,PROTECTED STRUCTURE:,18-12-2018,6  7  8 and 9  Colle,Decision Appealed,19-02-2019,18-12-2018,Permission,REFUSE PERMISSION
2379/04,11-01-2005,mixed use developmen,14-04-2004,19-21  Creighton Str,Decision Appealed,05-08-2004,09-07-2004,Permission,GRANT PERMISSION
3096/06,18-04-2007,Construction of 5 st,23-05-2006,20 Creighton Street,Appeal Decided,07-09-2006,22-08-2006,Permission,GRANT PERMISSION
1917/06,19-06-2006,development of this,08-03-2006,Corner of Creighton,Registered applicati,02-05-2006,08-03-2006,Permission,GRANT PERMISSION
1884/04,NULL,mixed use developmen,11-03-2004,19-21  Creighton Str,Decision Notices Iss,30-03-2004,11-03-2004,Permission,APPLICATION DECLARED
4143/04,NULL,PROTECTED STRUCTURE,13-08-2004,Permenant TSB  Abbey,Decision Notices Iss,31-08-2004,13-08-2004,Permission,APPLICATION DECLARED
4515/04,NULL,PROTECTED STRUCTURE,09-09-2004,Permenant TSB  12B A,Decision Notices Iss,28-09-2004,09-09-2004,Permission,APPLICATION DECLARED
5239/04,NULL,PROT STRUCchange of,02-11-2004,Permanent TSB  12B,Decision Notices Iss,17-12-2004,02-11-2004,Permission,ADDITIONAL INFORMATI
3381/13,20-01-2014,Change of use to an,11-10-2013,22-23  Moore Street,Decision Notices Iss,02-12-2013,11-10-2013,Permission,GRANT PERMISSION
2303/12,11-07-2012,Change of use from c,15-03-2012,22-23  Moore Street,Decision Notices Iss,29-05-2012,14-05-2012,Permission,GRANT PERMISSION
3442/17,23-10-2017,The development will,18-07-2017,River Island  Unit C,Decision Notices Iss,11-09-2017,18-07-2017,Permission,SPLIT DECISION(PERMI
1882/03,30-10-2003,Change doors & modif,29-04-2003,40  Mary Street  Dub,Appeal Decided,13-06-2003,29-04-2003,Permission,REFUSE PERMISSION
3303/18,06-11-2018,Permission for the d,19-06-2018,Nos. 17  18 and 19 M,Decision Notices Iss,27-09-2018,31-08-2018,Permission,GRANT PERMISSION
4352/18,23-05-2019,Amend a previously p,08-11-2018,17-18 and 19 Moore L,Appeal Decided,11-01-2019,08-11-2018,Permission,REFUSE PERMISSION
WEB1051/11,15-06-2011,Permission is sought,21-03-2011,Unit 1-2  Ilac Centr,Decision Notices Iss,05-05-2011,21-03-2011,Permission,GRANT PERMISSION
4207/16,07-03-2017,Permission for alter,25-11-2016,17  Westmoreland Str,Decision Notices Iss,26-01-2017,25-11-2016,Permission,GRANT PERMISSION
3995/17,17-01-2018,Alterations to previ,05-10-2017,17  Westmoreland Str,Decision Notices Iss,28-11-2017,05-10-2017,Permission,GRANT PERMISSION
2146/16,05-05-2016,Change of use of sec,29-01-2016,17  Westmoreland Str,Decision Notices Iss,24-03-2016,29-01-2016,Permission,GRANT PERMISSION
2782/11,29-11-2011,replacement and real,01-06-2011,40  Mary Street  Dub,Decision Notices Iss,14-10-2011,19-09-2011,Permission,GRANT PERMISSION
4544/09,NULL,Replacement & realig,22-12-2009,40  Mary Street  Dub,Decision Notices Iss,14-12-2010,19-11-2010,Permission,REFUSE PERMISSION
2776/11,01-09-2011,Temporary 3 year per,31-05-2011,Wicklow House  84-88,Decision Notices Iss,21-07-2011,31-05-2011,Permission,GRANT PERMISSION
2708/11,NULL,Signage consisting o,18-05-2011,Wicklow House  84-88,Decision Notices Iss,25-05-2011,18-05-2011,Permission,APPLICATION DECLARED
1977/07,NULL,Additional single fl,06-03-2007,Space 28  North Lott,Decision Notices Iss,12-03-2007,06-03-2007,Permission,APPLICATION DECLARED
2887/12,10-10-2012,Retention of change,09-07-2012,Wicklow House  4th F,Decision Notices Iss,27-08-2012,09-07-2012,Retention Permission,GRANT RETENTION PERM
4397/03,09-12-2003,Alterations to glazi,10-09-2003,22  23 & 24  Strand,Decision Appealed,03-11-2003,10-09-2003,Permission,GRANT PERMISSION
WEB1245/15,29-10-2015,The fitting of new s,29-07-2015,100-101 Grafton Stre,Decision Notices Iss,15-09-2015,29-07-2015,Permission,GRANT PERMISSION
3726/08,22-10-2008,2 no. metal banner t,21-07-2008,4-8  Eden Quay  Dubl,Decision Notices Iss,10-09-2008,21-07-2008,Permission,GRANT PERMISSION
4115/08,NULL,Erection of a light,19-08-2008,Area In Front Of  Un,Decision Notices Iss,09-10-2008,19-08-2008,Permission,REFUSE PERMISSION
2636/17,03-10-2017,Demolition of existi,05-04-2017,79/80  Talbot Street,Decision Notices Iss,23-08-2017,27-07-2017,Permission,GRANT PERMISSION
3203/15,02-12-2015,Change of use from s,13-07-2015,79-80 Talbot Street,Decision Notices Iss,21-10-2015,28-09-2015,Permission,GRANT PERMISSION
3179/14,NULL,Change of use from s,01-08-2014,79-80 Talbot Street,Decision Notices Iss,25-09-2014,01-08-2014,Permission,REFUSE PERMISSION
2432/18,07-06-2018,Alterations to previ,06-03-2018,79/80  Talbot Street,Decision Notices Iss,26-04-2018,06-03-2018,Permission,GRANT PERMISSION
6814/07,NULL,Permission for insta,21-12-2007,Between the Milleniu,Appeal Decided,18-04-2008,31-03-2008,Permission,GRANT PERMISSION
6728/06,NULL,Installation of floa,21-12-2006,The River Liffey  Du,Decision Notices Iss,12-07-2007,20-06-2007,Permission,REFUSE PERMISSION
2379/18,23-05-2018,Refurbishment and in,23-02-2018,Irish Life Centre (B,Decision Notices Iss,18-04-2018,23-02-2018,Permission,GRANT PERMISSION
2553/11,04-01-2012,PROTECTED STRUCTURE:,19-04-2011,7-9  College Street,Decision Notices Iss,14-11-2011,24-10-2011,Permission,SPLIT DECISION(PERMI
3006/13,28-03-2014,PROTECTED STRUCTURE:,26-07-2013,Doyles Pub & The Tim,Decision Notices Iss,08-01-2014,05-12-2013,Permission,GRANT PERMISSION
2965/13,NULL,PROTECTED STRUCTURE:,19-07-2013,7-9  College Street,Decision Notices Iss,24-07-2013,19-07-2013,Permission,APPLICATION DECLARED
2938/10,31-01-2011,PROTECTED STRUCTURES,04-06-2010,7-9 College Street a,Decision Notices Iss,14-12-2010,18-11-2010,Retention Permission,GRANT RETENTION PERM
3375/04,NULL,PROTECTED STRUCTURE,18-06-2004,behind the Corn Exch,Decision Notices Iss,08-03-2005,08-02-2005,Permission,REFUSE PERMISSION
2829/04,NULL,PROTECTED STRUCTURE,13-05-2004,behind the Corn Exch,Decision Notices Iss,28-05-2004,13-05-2004,Permission,APPLICATION DECLARED
