OBJECTID,ZONE_ORIG,ZONE_GZT,ZONE_DESC,ZONE_LINK,COLOUR
2156,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2157,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2158,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2159,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2188,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2190,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2194,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2244,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2245,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2246,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2247,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2248,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2249,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2250,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2251,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2252,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2254,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2255,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2256,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2257,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2258,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2259,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2260,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2261,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2262,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2263,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2265,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2266,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2270,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2272,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2273,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2283,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2284,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2285,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2288,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2289,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2290,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2296,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2298,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
4192,Zone Z1: Sustainable Residential Neighbourhoods,R2.6,"To protect, provide and improve residential amenities.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Yellow1,Yes,No"
4215,Zone Z1: Sustainable Residential Neighbourhoods,R2.6,"To protect, provide and improve residential amenities.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Yellow1,Yes,No"
4216,Zone Z1: Sustainable Residential Neighbourhoods,R2.6,"To protect, provide and improve residential amenities.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Yellow1,Yes,No"
4217,Zone Z1: Sustainable Residential Neighbourhoods,R2.6,"To protect, provide and improve residential amenities.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Yellow1,Yes,No"
4218,Zone Z1: Sustainable Residential Neighbourhoods,R2.6,"To protect, provide and improve residential amenities.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Yellow1,Yes,No"
4233,Zone Z1: Sustainable Residential Neighbourhoods,R2.6,"To protect, provide and improve residential amenities.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Yellow1,Yes,No"
4275,Zone Z1: Sustainable Residential Neighbourhoods,R2.6,"To protect, provide and improve residential amenities.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Yellow1,Yes,No"
4276,Zone Z1: Sustainable Residential Neighbourhoods,R2.6,"To protect, provide and improve residential amenities.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Yellow1,Yes,No"
4279,Zone Z1: Sustainable Residential Neighbourhoods,R2.6,"To protect, provide and improve residential amenities.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Yellow1,Yes,No"
4897,Zone Z1: Sustainable Residential Neighbourhoods,R2.6,"To protect, provide and improve residential amenities.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Yellow1,Yes,No"
5893,Zone Z9: Amenity/Open Space Lands/Green Network,G5,"To preserve, provide and improve recreational amenity and open space and green networks.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Green3,Yes,No"
5896,Zone Z9: Amenity/Open Space Lands/Green Network,G5,"To preserve, provide and improve recreational amenity and open space and green networks.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Green3,Yes,No"
5903,Zone Z9: Amenity/Open Space Lands/Green Network,G5,"To preserve, provide and improve recreational amenity and open space and green networks.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Green3,Yes,No"
5905,Zone Z9: Amenity/Open Space Lands/Green Network,G5,"To preserve, provide and improve recreational amenity and open space and green networks.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Green3,Yes,No"
5913,Zone Z9: Amenity/Open Space Lands/Green Network,G5,"To preserve, provide and improve recreational amenity and open space and green networks.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Green3,Yes,No"
5914,Zone Z9: Amenity/Open Space Lands/Green Network,G5,"To preserve, provide and improve recreational amenity and open space and green networks.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Green3,Yes,No"
5915,Zone Z9: Amenity/Open Space Lands/Green Network,G5,"To preserve, provide and improve recreational amenity and open space and green networks.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Green3,Yes,No"
5916,Zone Z9: Amenity/Open Space Lands/Green Network,G5,"To preserve, provide and improve recreational amenity and open space and green networks.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Green3,Yes,No"
5925,Zone Z9: Amenity/Open Space Lands/Green Network,G5,"To preserve, provide and improve recreational amenity and open space and green networks.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Green3,Yes,No"
5937,Zone Z9: Amenity/Open Space Lands/Green Network,G5,"To preserve, provide and improve recreational amenity and open space and green networks.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Green3,Yes,No"
5940,Zone Z9: Amenity/Open Space Lands/Green Network,G5,"To preserve, provide and improve recreational amenity and open space and green networks.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Green3,Yes,No"
5945,Zone Z9: Amenity/Open Space Lands/Green Network,G5,"To preserve, provide and improve recreational amenity and open space and green networks.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Green3,Yes,No"
5953,Zone Z9: Amenity/Open Space Lands/Green Network,G5,"To preserve, provide and improve recreational amenity and open space and green networks.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Green3,Yes,No"
5954,Zone Z9: Amenity/Open Space Lands/Green Network,G5,"To preserve, provide and improve recreational amenity and open space and green networks.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Green3,Yes,No"
5955,Zone Z9: Amenity/Open Space Lands/Green Network,G5,"To preserve, provide and improve recreational amenity and open space and green networks.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Green3,Yes,No"
5956,Zone Z9: Amenity/Open Space Lands/Green Network,G5,"To preserve, provide and improve recreational amenity and open space and green networks.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Green3,Yes,No"
5957,Zone Z9: Amenity/Open Space Lands/Green Network,G5,"To preserve, provide and improve recreational amenity and open space and green networks.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Green3,Yes,No"
6193,Zone Z9: Amenity/Open Space Lands/Green Network,G5,"To preserve, provide and improve recreational amenity and open space and green networks.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Green3,Yes,No"
6194,Zone Z9: Amenity/Open Space Lands/Green Network,G5,"To preserve, provide and improve recreational amenity and open space and green networks.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Green3,Yes,No"
6195,Zone Z9: Amenity/Open Space Lands/Green Network,G5,"To preserve, provide and improve recreational amenity and open space and green networks.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Green3,Yes,No"
6196,Zone Z9: Amenity/Open Space Lands/Green Network,G5,"To preserve, provide and improve recreational amenity and open space and green networks.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Green3,Yes,No"
6491,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
6534,Zone Z9: Amenity/Open Space Lands/Green Network,G5,"To preserve, provide and improve recreational amenity and open space and green networks.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Green3,Yes,No"
1490,Zone Z2: Residential Neighbourhoods (Conservation Areas),O2,To protect and/or improve the amenities of residential conservation areas.,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Yellow3,Yes,No"
6545,Zone Z8: Georgian Conservation Areas,O2,"To protect the existing architectural and civic design character, to allow only for limited expansion consistent with the conservation objective.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Orange,Yes,No"
